strategy,trainable_params,id_val_acc,ood_val_acc,id_test_acc,ood_test_acc,id_val_f1,ood_val_f1,elapsed_s
linear_probe,364722,0.6391921397379913,0.43759264749481175,0.5641806189751395,0.5501280643980974,0.3323157382068967,0.25313012722380934,70.48946139999998
partial_ft,15329458,0.7543668122270742,0.5004447079750963,0.6894977168949772,0.6538602268569338,0.4654870689697315,0.3345037958704732,80.30559989999983
full_ft,23872754,0.7658296943231441,0.5244589386302995,0.6996448503297819,0.6499268203439443,0.4806257733392162,0.3480184271365825,162.74992770000017
scratch,23872754,0.4546943231441048,0.2632671212570412,0.3571790969051243,0.41117819246249543,0.11987439578116992,0.06836841938128053,162.11393830000043
